Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
64435603,"Tyler (Blue Halo, #6)",Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",2,4.43,,Kindle Edition,267,2023,2023,2023/01/01,2023/06/30,,,read,,,,1,0
62192521,Ever Since,Alena Bruzas,"Bruzas, Alena",,"=""0593616170""","=""9780593616178""",0,4.13,Rocky Pond Books,Hardcover,288,2023,2023,,2023/06/23,to-read,to-read (#57),to-read,,,,0,0
1087403,Lace,Shirley Conran,"Conran, Shirley",,"=""""","=""""",0,3.83,Penguin Books,Mass Market Paperback,751,1992,,,2023/06/23,to-read,to-read (#56),to-read,,,,0,0
60510,"Poison Study (Study, #1)",Maria V. Snyder,"Snyder, Maria V.",,"=""0778324338""","=""9780778324331""",0,4.09,Mira,Paperback,427,2007,2005,,2023/06/23,to-read,to-read (#55),to-read,,,,0,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",4,4.13,Katherine Tegen Books,Paperback,487,2012,2011,2023/06/23,2023/06/20,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",4,3.67,"Little, Brown and Company",Paperback,498,2006,2005,2021/10/27,2021/10/27,,,read,,,,1,0
42893340,"The Kinder Poison (The Kinder Poison, #1)",Natalie Mae,"Mae, Natalie",,"=""1984835211""","=""9781984835215""",0,3.85,Razorbill,Hardcover,416,2020,2020,,2023/06/20,to-read,to-read (#54),to-read,,,,0,0
56647932,Wyatt (Project Arma #5),Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",2,4.41,Nyssa Kathryn,Kindle Edition,272,2021,2021,2023/01/01,2023/06/17,,,read,,,,1,0
57363770,"Bodie (Project Arma, #6)",Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",4,4.45,Nyssa Kathryn,Kindle Edition,255,2021,2021,2023/01/01,2023/06/17,,,read,,,,1,0
55969733,Mason (Project Arma #4),Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",3,4.41,Nyssa Kathryn,Kindle Edition,262,2021,2021,2023/01/01,2023/06/17,,,read,,,,1,0
54901808,Asher (Project Arma #3),Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",3,4.35,Nyssa Kathryn,Kindle Edition,292,2020,2020,2023/01/01,2023/06/17,,,read,,,,1,0
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250268397""","=""9781250268396""",4,4.06,Flatiron Books,Hardcover,408,2021,2021,2023/06/17,2023/06/01,,,read,,,,1,0
50534251,Luca (Project Arma #1),Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",2,4.17,Nyssa Kathryn,Kindle Edition,242,2020,2020,2023/01/01,2023/06/07,,,read,,,,1,0
27189194,One True Loves,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",3,4.02,Washington Square Press,Kindle Edition,352,2016,2016,2023/06/03,2023/06/01,,,read,,,,1,0
8097637,"The Spirit Thief (The Legend of Eli Monpress, #1)",Rachel Aaron,"Aaron, Rachel",,"=""0316069051""","=""9780316069052""",0,3.88,Orbit,Mass Market Paperback,310,2010,2010,,2023/05/31,to-read,to-read (#53),to-read,,,,0,0
52380207,Trouble the Saints,Alaya Dawn Johnson,"Johnson, Alaya Dawn",,"=""1250175348""","=""9781250175342""",0,3.36,Tor Books,Hardcover,352,2020,2020,,2023/05/31,to-read,to-read (#52),to-read,,,,0,0
54870208,Mary Jane,Jessica Anya Blau,"Blau, Jessica Anya",,"=""0063052296""","=""9780063052291""",0,4.13,Mariner Books,Hardcover,320,2021,2021,,2023/05/31,to-read,to-read (#51),to-read,,,,0,0
30326616,"Say You'll Stay (The Hennington Brothers, #1)",Corinne Michaels,"Michaels, Corinne",,"=""""","=""""",0,4.10,,ebook,310,2016,2016,,2023/05/31,to-read,to-read (#50),to-read,,,,0,0
85174288,"Ryker (Mercy Ring, #4)",Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",2,4.37,,Kindle Edition,269,2023,2023,2023/01/01,2023/05/31,,,read,,,,1,0
124948406,They Never Learn,Layne Fargo,"Fargo, Layne",,"=""""","=""""",0,3.91,Gallery/Scout Press,Kindle Edition,349,2023,2020,,2023/05/30,to-read,to-read (#49),to-read,,,,0,0
63079309,Cole (Mercy Ring #3),Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",3,4.33,,Kindle Edition,273,2023,2023,2023/01/01,2023/05/30,,,read,,,,1,0
61437147,Declan (Mercy Ring #2),Nyssa Kathryn,"Kathryn, Nyssa",,"=""1922869287""","=""9781922869289""",4,4.28,,Kindle Edition,286,2022,2022,2023/01/01,2023/05/30,,,read,,,,1,0
61179995,Jackson (Mercy Ring #1),Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",3,4.20,NW Partners PTY LTD,Kindle Edition,276,2022,2022,2023/01/01,2023/05/30,,,read,,,,1,0
395851,The Struggle (The Vampire Diaries #2),L.J. Smith,"Smith, L.J.",,"=""006102001X""","=""9780061020018""",0,3.44,HarperCollins Publishers,Paperback,278,1999,1991,,2022/10/20,to-read,to-read (#48),to-read,,,,0,0
58545703,"Hooked (Never After, #1)",Emily McIntire,"McIntire, Emily",,"=""173750832X""","=""9781737508328""",3,3.78,"McIntire Publishing, Co.",Kindle Edition,312,2021,2021,2023/01/01,2023/05/22,,,read,,,,1,0
42883009,Luna and the Lie,Mariana Zapata,"Zapata, Mariana",,"=""""","=""""",3,4.07,,ebook,580,2018,2018,2023/01/01,2023/05/22,,,read,,,,1,0
60784545,"The Plus One (A Brush with Love, #3)",Mazey Eddings,"Eddings, Mazey",,"=""1250847044""","=""9781250847041""",3,3.65,Griffin,Paperback,307,2023,2023,2023/01/01,2023/05/22,,,read,,,,1,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",4,4.44,Simon & Schuster,ebook,320,2022,2022,2023/01/01,2023/05/22,,,read,,,,1,0
60755618,"Flawless (Chestnut Springs, #1)",Elsie Silver,"Silver, Elsie",,"=""""","=""""",3,4.03,Elsie Silver via Amazon Digital Services,Kindle Edition,424,2022,2022,2023/01/01,2023/05/22,,,read,,,,1,0
54189398,"The Spanish Love Deception (Love Deception, #1)",Elena  Armas,"Armas, Elena",,"=""1668002531""","=""9781668002537""",2,3.80,Elena Armas,ebook,487,2021,2021,2023/01/01,2023/05/22,,,read,,,,1,0
35853895,"Blurring the Lines: Nothing Left to Lose, Part II (Guarded Hearts, #2)",Kirsty Moseley,"Moseley, Kirsty",,"=""""","=""""",2,4.25,,Kindle Edition,251,2017,2013,2023/01/01,2023/05/22,,,read,,,,1,0
35853878,"Guarding the Broken: Nothing Left to Lose, Part I (Guarded Hearts, #1)",Kirsty Moseley,"Moseley, Kirsty",,"=""""","=""""",2,4.18,,Kindle Edition,333,2017,2013,2023/01/01,2023/05/22,,,read,,,,1,0
61767292,"Icebreaker (UCMH, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",2,3.75,Pig & Bear Publishing,Kindle Edition,447,2022,2022,,2023/05/22,,,read,,,,0,0
62611649,"Aidan (Blue Halo, #5)",Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",3,4.42,Amazon Digital Services,Kindle Edition,268,2022,2022,2023/01/01,2023/05/22,,,read,,,,1,0
61179993,"Flynn (Blue Halo, #4)",Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",3,4.37,NW Partners PTY LTD,Kindle Edition,284,2022,2022,2023/01/01,2023/05/22,,,read,,,,1,0
59475303,Jason (Blue Halo #2),Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",3,4.31,Nyssa Kathryn,Kindle Edition,284,2022,2022,2023/01/01,2023/05/22,,,read,,,,1,0
59475301,Logan (Blue Halo #1),Nyssa Kathryn,"Kathryn, Nyssa",,"=""""","=""""",3,4.33,Nyssa Kathryn,Kindle Edition,289,2022,2022,2023/01/01,2023/05/22,,,read,,,,1,0
63270129,"Secret Sin (The Byrne Brothers, #1.5)",Jill Ramsower,"Ramsower, Jill",,"=""""","=""""",1,3.85,Jill Ramsower LLC,Paperback,,2023,,2023/01/01,2023/05/22,,,read,,,,1,0
58076354,Grand Lies (The Promise Duet #1),J.C. Hawke,"Hawke, J.C.",,"=""""","=""""",1,3.81,Ivy Rose Publishing Ltd,Kindle Edition,507,2021,2021,2023/01/01,2023/05/22,,,read,,,,1,0
61425509,"Silent Vows (The Byrne Brothers, #1)",Jill Ramsower,"Ramsower, Jill",,"=""""","=""""",1,3.77,,Paperback,350,2022,2022,2023/01/01,2023/05/22,,,read,,,,1,0
55817097,"Twisted Love (Twisted, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",1,3.71,,Kindle Edition,360,2021,2021,2023/01/01,2023/05/22,,,read,,,,1,0
43528094,"Rock Chick Regret (Rock Chick, #7)",Kristen Ashley,"Ashley, Kristen",,"=""""","=""""",3,4.52,Kristen Ashley,Kindle Edition,542,2018,2011,2023/01/01,2023/05/22,,,read,,,,1,0
43528039,"Rock Chick Reckoning (Rock Chick, #6)",Kristen Ashley,"Ashley, Kristen",,"=""""","=""""",2,4.41,Kristen Ashley,Kindle Edition,484,2018,2018,2023/01/01,2023/05/22,,,read,,,,1,0
43528033,"Rock Chick Revenge (Rock Chick, #5)",Kristen Ashley,"Ashley, Kristen",,"=""""","=""""",2,4.46,Kristen Ashley,Kindle Edition,496,2018,2011,2023/01/01,2023/05/22,,,read,,,,1,0
43528029,"Rock Chick Renegade (Rock Chick, #4)",Kristen Ashley,"Ashley, Kristen",,"=""""","=""""",2,4.44,Kristen Ashley,Kindle Edition,476,2018,2011,2023/01/01,2023/05/22,,,read,,,,1,0
43528027,"Rock Chick Redemption (Rock Chick, #3)",Kristen Ashley,"Ashley, Kristen",,"=""""","=""""",2,4.41,Kristen Ashley,Kindle Edition,448,2018,2010,2023/01/01,2023/05/22,,,read,,,,1,0
43528012,"Rock Chick Rescue (Rock Chick, #2)",Kristen Ashley,"Ashley, Kristen",,"=""""","=""""",2,4.29,Kristen Ashley,Kindle Edition,400,2018,2009,2023/01/01,2023/05/22,,,read,,,,1,0
43528006,"Rock Chick (Rock Chick, #1)",Kristen Ashley,"Ashley, Kristen",,"=""""","=""""",2,4.17,Kristen Ashley,Kindle Edition,398,2018,2008,2023/01/01,2023/05/22,,,read,,,,1,0
60060431,"Things We Never Got Over (Knockemout, #1)",Lucy Score,"Score, Lucy",,"=""1945631848""","=""9781945631849""",3,4.13,That's What She Said Publishing,Kindle Edition,572,2022,2022,2023/01/01,2023/05/22,,,read,,,,1,0
161656,"The Tail of Emily Windsnap (Emily Windsnap, #1)",Liz Kessler,"Kessler, Liz",Sarah Gibb,"=""0763628115""","=""9780763628116""",0,3.93,Candlewick Press,Paperback,209,2010,2003,,2023/05/22,to-read,to-read (#47),to-read,,,,0,0
195672,"Aquamarine (Water Tales, #1)",alice-hoffman,"alice-hoffman, alice-hoffman",,"=""1405203633""","=""9781405203630""",0,3.49,Egmont,Paperback,104,2003,2001,,2023/05/21,to-read,to-read (#46),to-read,,,,0,0
54173267,Happy Hour,Marlowe Granados,"Granados, Marlowe",,"=""1989919006""","=""9781989919002""",0,3.48,Flying Books,Paperback,280,2020,2020,,2023/05/21,to-read,to-read (#45),to-read,,,,0,0
34607044,Devotion,Patti Smith,"Smith, Patti",,"=""0300218621""","=""9780300218626""",0,3.85,Yale University Press,Hardcover,95,2017,2017,,2023/05/21,to-read,to-read (#44),to-read,,,,0,0
38402135,The Carrying,Ada Limon,"Limon, Ada",,"=""1571315128""","=""9781571315120""",0,4.38,Milkweed Editions,Hardcover,120,2018,2018,,2023/05/21,to-read,to-read (#43),to-read,,,,0,0
52973514,Days of Distraction,Alexandra Chang,"Chang, Alexandra",,"=""0062951807""","=""9780062951809""",0,3.56,HarperCollins,Hardcover,312,2020,2020,,2023/05/21,to-read,to-read (#42),to-read,,,,0,0
58659343,Our Wives Under the Sea,Julia Armfield,"Armfield, Julia",,"=""152901722X""","=""9781529017229""",0,3.73,Picador,Paperback,240,2022,2022,,2023/05/21,to-read,to-read (#41),to-read,,,,0,0
